ID,FACILITY NAME,LICENSEE,COMPANY,ADDRESS,,latitude,longitude,CITY,POSTAL CODE,PROVINCE,COUNTRY,LHIN,TYPE,HOSPITAL,CLASS,Total,A,B,C,D,Upgraded D,New,Long Stay,Convalescent Care,Respite,ELDCAP,Veterans' Priority Access,Beds in Abeyance (BIA),Designated Specialized Unit,Other,Interim,LS License Expiry,Up for Redev.,MANAGED BY
H11321,CUMMER LODGE,Toronto Long-Term Care Homes And Services,City of Toronto,205 Cummer Avenue,,,,North York,M2M 2E8,Ontario,Canada,Central,Municipal,,A,391,391,,,,,,387,,4,,,,,,,Municipal,,
H22085,SOUTH CENTENNIAL MANOR,Anson General Hospital,Anson General Hospital,240 Fyfe Street,,,,Iroquois Falls,P0K 1E0,Ontario,Canada,North East,Not-For-Profit,,B,69,,69,,,,,67,,1,,1,,,,,6/30/2025,Yes,
NH1816,GOOD SAMARITAN NURSING HOME,Clurelea Ltd.,Clurelea Ltd.,481 Victoria Street East,,,,Alliston,L9R 1J8,Ontario,Canada,Central,For-Profit,,New,64,,,,,,64,64,,,,,,,,,6/30/2035,,
H21341,BETTER LIVING AT THOMPSON HOUSE,Don Mills Foundation For Seniors,Don Mills Foundation For Seniors,1 Overland Drive,"43.7324636, -79.34667069999999",43.73246,-79.34667,North York,M3C 2C3,Ontario,Canada,Central,Not-For-Profit,,C,136,,,136,,,,136,,,,,,,,,6/30/2025,Yes,
NH1290,WELLINGTON HOUSE NURSING HOME,Arch Long Term Care LP,Arch Long Term Care LP,990 Edward Street North,,,,Prescott,K0E 1T0,Ontario,Canada,South East,For-Profit,,B,60,,60,,,,,58,,,,2,,,,,6/30/2025,Yes,
NH1324,DOWNSVIEW LONG TERM CARE CENTRE,Downsview Long Term Care Centre Limited,Downsview Long Term Care Centre Limited,3595 Keele Street,"43.7511756, -79.4855923",43.75118,-79.48559,North York,M3J 1M7,Ontario,Canada,Central,For-Profit,,C,252,,,252,,,,250,,2,,,,,,,6/30/2025,Yes,
NH3250b,"THE GROVE, ARNPRIOR AND DISTRICT NURSING HOME",Arnprior Regional Health,Arnprior Regional Health,275 Ida Street North,,,,Arnprior,K7S 3M7,Ontario,Canada,Champlain,Not-For-Profit,,B,60,,60,,,,,59,,1,,,,,,1,6/30/2025,Yes,
H11827,SIMCOE MANOR HOME FOR THE AGED,Corporation Of The County Of Simcoe,County Of Simcoe,5988 - 8th Line Main Street East,,,,Beeton,L0G 1A0,Ontario,Canada,Central,Municipal,,A,126,126,,,,,,124,,2,,,,,,,Municipal,,
Unknown,EXETER VILLA,ATK Care Group Limited,ATK Care Group Limited,155 John Street East,,,,Exeter,N0M 1S1,Ontario,Canada,South West,For-Profit,,B,47,,47,,,,,,,,,,,,,,6/30/2025,Yes,
NH1316,EXTENDICARE BAYVIEW,Extendicare (Canada) Inc.,Extendicare,550 Cummer Avenue,"43.7934039, -79.39066900000002",43.79340,-79.39067,North York,M2K 2M2,Ontario,Canada,Central,For-Profit,,C,205,,,205,,,,202,,1,,,2,,,,6/30/2025,Yes,
Unknown,THE FORDWICH VILLAGE NURSING HOME,ATK Care Group Limited,ATK Care Group Limited,3063 Adelaide Street,,,,Fordwich,N0G 1V0,Ontario,Canada,South West,For-Profit,,B,33,,33,,,,,,,,,,,,,,6/30/2025,Yes,
TM4794,CEDARWOOD LODGE,Autumnwood Mature Lifestyle Communities Inc.,Autumnwood Mature Lifestyle Communities Inc.,860 Great Northern Road,,,,Sault Ste. Marie,P6A 5K7,Ontario,Canada,North East,For-Profit,,Interim,50,,,,,,,,,,,,,,,50,Unknown,,The Royale Development Gp Corporation
NH4504,VILLA LEONARDO GAMBIN,Friuli Long Term Care,Friuli Long Term Care,40 Friuli Court,,,,Woodbridge,L4L 9T3,Ontario,Canada,Central,Not-For-Profit,,New,168,,,,,,168,167,,1,,,,,,,6/30/2035,,Specialty Care Inc.
NH3333,HAROLD AND GRACE BAKER CENTRE,Harold And Grace Baker Centre,Harold And Grace Baker Centre,1 Northwestern Avenue,"43.6982422, -79.4701688",43.69824,-79.47017,Toronto,M6M 2J7,Ontario,Canada,Central,Not-For-Profit,,C,120,,,120,,,,120,,,,,,,,,6/30/2025,Yes,
NH1831,BAY HAVEN NURSING HOME,Bay Haven Nursing Home Incorporated,Bay Haven Nursing Home Incorporated,499 Hume Street,,,,Collingwood,L9Y 4H8,Ontario,Canada,North Simcoe Muskoka,For-Profit,,B,60,,60,,,,,60,,,,,,,,,6/30/2025,Yes,
NH4252,MACKENZIE HEALTH LONG TERM CARE FACILITY,Mackenzie Health,Mackenzie Health,10 Trench Street,,,,Richmond Hill,L4C 4Z3,Ontario,Canada,Central,Not-For-Profit,,New,136,,,,,,136,114,,,,2,,20,,32,6/30/2035,,Universalcare Canada Inc.
H22027,"MARKHAVEN, INC.","Markhaven, Inc.","Markhaven, Inc.",54 Parkway Avenue,,,,Markham,L3P 2G4,Ontario,Canada,Central,Not-For-Profit,,New,96,,,,,,96,96,,,,,,,,,6/30/2035,,
NH4412,MON SHEONG RICHMOND HILL LONG TERM CARE CENTRE,Mon Sheong Foundation,Mon Sheong Foundation,11199 Yonge Street,,,,Richmond Hill,L4S 1L2,Ontario,Canada,Central,Not-For-Profit,,New,192,,,,,,192,191,,1,,,,,,,6/30/2035,,
H11165,BENNETT HEALTH CARE CENTRE,Bennett Centre Long-Term Care at Bennett Village ,Bennett Centre Long-Term Care at Bennett Village ,1 Princess Anne Drive,,,,Georgetown,L7G 2B8,Ontario,Canada,Mississauga Halton,Not-For-Profit,,B,66,,66,,,,,66,,,,,,,,,6/30/2025,Yes,Extendicare Assist
H12034,NEWMARKET HEALTH CENTRE,The Regional Municipality Of York,Municipality Of York,194 Eagle Street,,,,Newmarket,L3Y 1J6,Ontario,Canada,Central,Municipal,,New,132,,,,,,132,106,19,3,,4,,,,,Municipal,,
H23523,KRISTUS DARZS LATVIAN HOME,Kristus Darzs Latvian Home,Kristus Darzs Latvian Home,11290 Pine Valley Drive,"43.8715558, -79.595792",43.87156,-79.59579,Woodbridge,L4L 1A6,Ontario,Canada,Central,Not-For-Profit,,C,100,,,100,,,,99,,1,,,,,,,6/30/2025,Yes,
H13904,MAPLE HEALTH CENTRE,The Regional Municipality Of York,Municipality Of York,10424 Keele Street,,,,Maple,L6A 2L1,Ontario,Canada,Central,Municipal,,A,100,100,,,,,,82,15,3,,,,,,,Municipal,,
NH3266,MARIANN HOME,Mariann Nursing Home And Residence,Mariann Nursing Home And Residence,9915 Yonge Street,"43.8692572, -79.4362367",43.86926,-79.43624,Richmond Hill,L4C 1V1,Ontario,Canada,Central,Not-For-Profit,,C,64,,,64,,,,64,,,,,,,,,6/30/2025,Yes,
NH4397,SHERWOOD COURT LONG TERM CARE CENTRE,"AXR Operating (National) LP, by its general partners (""AXR"")",Revera,300 Ravineview Drive,,,,Maple,L6A 3P8,Ontario,Canada,Central,For-Profit,,New,96,,,,,,96,96,,,,,,,,,6/30/2035,,
NH4346c,ELGINWOOD,"AXR Operating (National) LP, by its general partners (""AXR"")",Revera,182 Yorkland Street,,,,Richmond Hill,L4S 2M9,Ontario,Canada,Central,For-Profit,,New,124,,,,,,124,123,,1,,,,,,,6/30/2035,,
NH4587,THE VILLAGE OF HUMBER HEIGHTS,Schlegel Villages,Schlegel Villages Inc.,2245 Lawrence Avenue West,,,,Etobicoke,M9P 3W3,Ontario,Canada,Central,For-Profit,,New,192,,,,,,192,192,,,,,,,,,6/30/2035,,
NH1328,NORTH PARK NURSING HOME,North Park Nursing Home Limited,North Park Nursing Home Limited,450 Rustic Road,"43.7174094, -79.4821431",43.71741,-79.48214,North York,M6L 1W9,Ontario,Canada,Central,For-Profit,,C,75,,,75,,,,75,,,,,,,,,6/30/2025,Yes,
NH4435,BRADFORD VALLEY CARE COMMUNITY,The Royale Development GP Corporation as general partner of The Royale Development LP,Sienna Senior Living,2656 6th Line,,,,Bradford,L3Z 3H5,Ontario,Canada,Central,For-Profit,,New,246,,,,,,246,246,,,,,,,,,6/30/2035,,
H12127,CASSELLHOLME,Board Of Management Of The District Of Nipissing East,Board Of Management Of The District Of Nipissing East,400 Olive Street,,,,North Bay,P1B 6J4,Ontario,Canada,North East,Municipal,,A / B,240,56,184,,,,,226,,2,,12,,,,,Municipal,Yes,
NH2918,NORFINCH CARE COMMUNITY,2063414 Ontario Limited as general partner of 2063414 Investment LP,Sienna Senior Living,22 Norfinch Drive,,,,North York,M3N 1X1,Ontario,Canada,Central,For-Profit,,New,160,,,,,,160,160,,,,,,,,,6/30/2035,,
NH2021,THE WILLOWS ESTATE NURSING HOME,0760444 B.C. Ltd As General Partner on behalf of OMNI Health Care Limited Partnership ,OMNI,13837 Yonge Street,"43.965635, -79.4582149",43.96564,-79.45821,Aurora,L4G 3G8,Ontario,Canada,Central,For-Profit,,C,84,,,84,,,,84,,,,,,,,,6/30/2025,Yes,
NH3536,ÉLISABETH-BRUYÈRE RESIDENCE,Bruyère Continuing Care Inc.,Bruyère Continuing Care Inc.,75 Bruyere Street,,,,Ottawa,K1N 5C8,Ontario,Canada,Champlain,Not-For-Profit,,B,71,,71,,,,,71,,,,,,,,,6/30/2025,Yes,
NH3536,RESIDENCE SAINT- LOUIS,Bruyère Continuing Care Inc.,Bruyère Continuing Care Inc.,879 Chemin Parc Hiawatha,,,,Ottawa,K1C 2Z6,Ontario,Canada,Champlain,Not-For-Profit,,B,71,,71,,,,,71,,,,,,,,,6/30/2025,Yes,
NH1169,MOUNT NEMO CHRISTIAN NURSING HOME,Canadian Reformed Society For A Home For The Aged Inc.,Canadian Reformed Society For A Home For The Aged Inc.,4486 Guelph Line,,,,Burlington,L7P 0N2,Ontario,Canada,HNHB,Not-For-Profit,,B,60,,60,,,,,60,,,,,,,,1,6/30/2025,Yes,
NH4438,LANGSTAFF SQUARE CARE COMMUNITY,2063414 Ontario Limited as general partner of 2063414 Investment LP,Sienna Senior Living,170 Red Maple Road,,,,Richmond Hill,L4B 4T8,Ontario,Canada,Central,For-Profit,,New,160,,,,,,160,160,,,,,,,,,6/30/2035,,
NH4380,WESTON TERRACE CARE COMMUNITY,2063414 Ontario Limited as general partner of 2063414 Investment LP,Sienna Senior Living,2005 Lawrence Avenue West,,,,North York,M9N 3V4,Ontario,Canada,Central,For-Profit,,New,224,,,,,,224,224,,,,,,,,,6/30/2035,,
NH1331,HAWTHORNE PLACE CARE CENTRE,Rykka Care Centres LP,Responsive Health Management Inc.,2045 Finch Avenue West,"43.75608099999999, -79.5213459",43.75608,-79.52135,North York,M3N 1M9,Ontario,Canada,Central,For-Profit,,C,269,,,269,,,,213,34,2,,,20,,,,6/30/2025,Yes,
NH2033,EAGLE TERRACE,Revera Long Term Care Inc.,Revera,329 Eagle Street,"44.0489398, -79.4634009",44.04894,-79.46340,Newmarket,L3Y 1K3,Ontario,Canada,Central,For-Profit,,C,70,,,70,,,,70,,,,,,,,,6/30/2025,Yes,
NH2401,MACKENZIE PLACE,Revera Long Term Care Inc.,Revera,52 George Street,"42.0131241, -71.3187575",42.01312,-71.31876,Newmarket,L3Y 4V3,Ontario,Canada,Central,For-Profit,,C,93,,,93,,,,93,,,,,,,,,6/30/2025,Yes,
NH4509,SOUTHLAKE RESIDENTIAL CARE VILLAGE,Southlake Residential Care Village,Southlake Residential Care Village,640 Grace Street,,,,Newmarket,L3Y 2L1,Ontario,Canada,Central,Not-For-Profit,,New,192,,,,,,192,192,,,,,,,,32,6/30/2035,,Extendicare Assist
NH4652,PARKVIEW HOME,The Mennonite Home Association As York County,The Mennonite Home Association As York County,123 Weldon Road,,,,Stouffville,L4A 0G8,Ontario,Canada,Central,Not-For-Profit,,New,128,,,,,,128,128,,,,,,,,,9/11/2036,,
H22028,UNION VILLA,Unionville Home Society,Unionville Home Society,4300 Highway #7,,,,Unionville,L3R 1L8,Ontario,Canada,Central,Not-For-Profit,,New,160,,,,,,160,158,,,,2,,,,,11/7/2030,,
NH1320,CHELTENHAM CARE COMMUNITY,Vigour Limited Partnership on behalf of Vigour General Partner Inc.,Sienna Senior Living,5935 Bathurst Street,"43.7818316, -79.4444572",43.78183,-79.44446,North York,M2R 1Y8,Ontario,Canada,Central,For-Profit,,C,170,,,170,,,,169,,1,,,,,,,6/30/2025,Yes,
NH1619,CHARTWELL BON AIR LONG TERM CARE RESIDENCE,Chartwell Master Care LP,Chartwell,131 Laidlaw Street South,"44.3459002, -79.037508",44.34590,-79.03751,Cannington,L0E 1E0,Ontario,Canada,Central East,For-Profit,,C,55,,,55,,,,54,,1,,,,,,,6/30/2025,Yes,
NH3249,CARESSANT CARE LINDSAY NURSING HOME,Caressant-Care Nursing And Retirement Homes Limited,Caressant Care,240 Mary Street West,,,,Lindsay,K9V 5K5,Ontario,Canada,Central East,For-Profit,,B / New,124,,60,,,,64,124,,,,,,,,,6/30/2030,Yes,
NH4650,VILLA COLOMBO SENIORS CENTRE (VAUGHAN),Villa Colombo Seniors Centre (Vaughan) Inc.,Villa Colombo Seniors Centre (Vaughan) Inc.,10443 Highway 27,,,,Vaughan,L0J 1C0,Ontario,Canada,Central,Not-For-Profit,,New,160,,,,,,160,160,,,,,,,,,10/29/2036,,Universalcare Canada Inc.
NH4389,YEE HONG CENTRE - MARKHAM,Yee Hong Centre For Geriatric Care,Yee Hong Centre For Geriatric Care,2780 Bur Oak Avenue,,,,Markham,L6B 1C9,Ontario,Canada,Central,Not-For-Profit,,New,200,,,,,,200,199,,1,,,,,,,6/30/2035,,
NH4447,CARESSANT CARE ON MCLAUGHLIN ROAD,Caressant-Care Nursing And Retirement Homes Limited,Caressant Care,114 McLaughlin Road,,,,Lindsay,K9V 6L1,Ontario,Canada,Central East,For-Profit,,New,96,,,,,,96,96,,,,,,,,,6/30/2030,,
NH4426,CENTENNIAL PLACE LONG-TERM CARE HOME,Centennial Place Millbrook Inc.,Centennial Place Millbrook Inc.,2 Centennial Lane North,,,,Millbrook,L0A 1G0,Ontario,Canada,Central East,For-Profit,,A,128,128,,,,,,128,,,,,,,,,6/30/2035,,
NH4400,CHARTWELL WYNFIELD LONG TERM CARE RESIDENCE,Regency LTC Operating Limited Partnership on behalf of Regency Operator GP Inc. as General Partner,Chartwell,451 Woodmount Drive,,,,Oshawa,L1G 8E3,Ontario,Canada,Central East,For-Profit,,New,172,,,,,,172,172,,,,,,,,,6/30/2035,,
H11765,FAIRHAVEN,The Corporation of the City of Peterborough and County of Peterborough,City and County of Peterborough,881 Dutton Road,,,,Peterborough,K9H 7S4,Ontario,Canada,Central East,Municipal,,New,253,,,,,,253,247,,1,,5,,,,3,Municipal,,
NH1291,CARVETH CARE CENTRE,Carveth Nursing Home Limited,Carveth Nursing Home Limited,375 James Street,,,,Gananoque,K7G 2Z1,Ontario,Canada,South East,For-Profit,,A / B,104,32,72,,,,,104,,,,,,,,,6/30/2025,Yes,
H11345,BENDALE ACRES,Toronto Long-Term Care Homes And Services,City of Toronto,2920 Lawrence Avenue East,,,,Scarborough,M1P 2T8,Ontario,Canada,Central East,Municipal,,A,302,302,,,,,,300,,2,,,,,,,Municipal,,
NH1633,CHARTWELL BALLYCLIFFE LONG TERM CARE RESIDENCE,Chartwell Master Care LP,Chartwell,70 Station Street,"32.772358, -117.042595",32.77236,-117.04260,Ajax,L1S 1R9,Ontario,Canada,Central East,For-Profit,,C,100,,,100,,,,100,,,,,,,,,6/30/2025,Yes,
NH4344,EXTENDICARE COBOURG,Extendicare (Canada) Inc.,Extendicare,130 New Densmore Road,,,,Cobourg,K9A 5W2,Ontario,Canada,Central East,For-Profit,,New,69,,,,,,69,69,,,,,,,,,6/30/2035,,
H13582,SEVEN OAKS,Toronto Long-Term Care Homes And Services,City of Toronto,9 Neilson Road,"43.7817425, -79.2032562",43.78174,-79.20326,Scarborough,M1E 5E1,Ontario,Canada,Central East,Municipal,,C,249,,,249,,,,230,17,2,,,,,,,Municipal,Yes,
NH4318,EXTENDICARE KAWARTHA LAKES,Extendicare (Canada) Inc.,Extendicare,125 Colborne Street East,,,,Lindsay,K0L 2V0,Ontario,Canada,Central East,For-Profit,,New,64,,,,,,64,64,,,,,,,,,6/30/2035,,
NH4460,EXTENDICARE PORT HOPE,Extendicare (Canada) Inc.,Extendicare,360 Croft Street,,,,Port Hope,L1A 4K8,Ontario,Canada,Central East,For-Profit,,New,128,,,,,,128,128,,,,,,,,,6/30/2030,,
NH2883,EXTENDICARE ROUGE VALLEY,Extendicare (Canada) Inc.,Extendicare,551 Conlins Road,,,,Toronto,M1B 5S1,Ontario,Canada,Central East,For-Profit,,New,192,,,,,,192,191,,1,,,,,,,6/30/2035,,
NH1614,GLEN HILL MARNWOOD,Durham Christian Homes Inc.,Durham Christian Homes Inc.,26 Elgin Street,"41.8440201, -71.3980469",41.84402,-71.39805,Bowmanville,L1C 3C8,Ontario,Canada,Central East,Not-For-Profit,,C,60,,,60,,,,60,,,,,,,,,6/30/2025,Yes,
H24272,HIGHLAND WOOD,Haliburton Highlands Health Services Corporation,Haliburton Highlands Health Services Corporation,7199 Gelert Road,,,,Haliburton,K0M 1S0,Ontario,Canada,Central East,Not-For-Profit,,A,30,30,,,,,,30,,,,,,,,,6/30/2035,,
NH1617,GLEN HILL STRATHAVEN,Durham Christian Homes Inc.,Durham Christian Homes Inc.,264 King Street East,"43.9121785, -78.67371690000002",43.91218,-78.67372,Bowmanville,L1C 1P9,Ontario,Canada,Central East,Not-For-Profit,,C,199,,,199,,,,184,15,,,,,,,,6/30/2025,Yes,
NH1764c,EXTENDICARE PETERBOROUGH,Extendicare (Canada) Inc.,Extendicare,80 Alexander Avenue,"41.19851130000001, -73.2138013",41.19851,-73.21380,Peterborough,K9J 6B4,Ontario,Canada,Central East,For-Profit,,C,172,,,172,,,,159,10,3,,,,,,2,6/30/2025,Yes,
H11154,HYLAND CREST,Haliburton Highlands Health Services Corporation,Haliburton Highlands Health Services Corporation,6 McPherson Street,,,,Minden,K0M 2K0,Ontario,Canada,Central East,Municipal,,A,62,62,,,,,,61,,1,,,,,,,Municipal,,
NH4489,HELLENIC HOME FOR THE AGED,Hellenic Home For The Aged Inc.,Hellenic Home For The Aged Inc.,2411 Lawrence Avenue East,,,,Scarborough,M1P 4X1,Ontario,Canada,Central East,Not-For-Profit,,New,128,,,,,,128,127,,1,,,,,,,6/30/2035,,
NH4713,INA GRAFTON GAGE HOME,Ina Grafton Gage Home Of Toronto,Ina Grafton Gage Home Of Toronto,40 Bell Estate Road,,,,Scarborough,M1L 0E2,Ontario,Canada,Central East,Not-For-Profit,,New,128,,,,,,128,128,,,,,,,,,11/24/2039,,Responsive Health Management
NH4500,MON SHEONG SCARBOROUGH LONG TERM CARE CENTRE,Mon Sheong Foundation,Mon Sheong Foundation,2030 Mcnicoll Avenue,,,,Scarborough,M1V 5P4,Ontario,Canada,Central East,Not-For-Profit,,New,160,,,,,,160,158,,2,,,,,,,6/30/2035,,
H11646,FAIRVIEW LODGE,Regional Municipality Of Durham,Municipality of Durham,632 Dundas Street West,,,,Whitby,L1N 5S3,Ontario,Canada,Central East,Municipal,,New,198,,,,,,198,198,,,,,,,,,Municipal,,
H11628,HILLSDALE ESTATES,Regional Municipality Of Durham,Regional Municipality Of Durham,590 Oshawa Blvd. North,,,,Oshawa,L1G 5T9,Ontario,Canada,Central East,Municipal,,New,300,,,,,,300,297,,,,3,,,,,Municipal,,
HF4671,HILLSDALE TERRACES,Regional Municipality Of Durham,Regional Municipality Of Durham,600 Oshawa Blvd. North,,,,Oshawa,L1G 5T9,Ontario,Canada,Central East,Municipal,,New,200,,,,,,200,198,,,,2,,,,,Municipal,,
H11612,LAKEVIEW MANOR,Regional Municipality Of Durham,Regional Municipality Of Durham,133 Main Street,,,,Beaverton,L0K 1A0,Ontario,Canada,Central East,Municipal,,New,149,,,,,,149,147,,2,,,,,,,Municipal,,
NH2793c,EXTENDICARE HALIBURTON,Extendicare (Canada) Inc.,Extendicare,167 Park Street,#ERROR!,#ERROR!,,Haliburton,K0M 1S0,Ontario,Canada,Central East,For-Profit,,C,60,,,60,,,,60,,,,,,,,,6/30/2025,Yes,
NH4370c,WINBOURNE PARK,"AXR Operating (National) LP, by its general partners (""AXR"")",Revera,1020 Westney Road North,,,,Ajax,L1T 4K6,Ontario,Canada,Central East,For-Profit,,New,110,,,,,,110,109,,1,,,,,,,Unknown,,
NH4332c,FENELON COURT,"AXR Operating (National) LP, by its general partners (""AXR"")",Revera,44 Wychwood Crescent,,,,Fenelon Falls,K0M 1N0,Ontario,Canada,Central East,For-Profit,,New,67,,,,,,67,67,,,,,,,,,6/30/2035,,
NH1462,CHARTWELL WHITE EAGLE LONG TERM CARE RESIDENCE,Chartwell Mastercare LP,Chartwell,138 Dowling Avenue,,,,Toronto,M6K 3A6,Ontario,Canada,Toronto Central,For-Profit,,B,56,,56,,,,,55,,1,,,,,,,,Yes,
NH1627c,EXTENDICARE OSHAWA,Extendicare (Canada) Inc.,Extendicare,82 Park Road North,"43.8973688, -78.8751492",43.89737,-78.87515,Oshawa,L1J 4L1,Ontario,Canada,Central East,For-Profit,,C,175,,,175,,,,157,17,1,,,,,,,6/30/2025,Yes,
NH4396c,BAY RIDGES,"AXR Operating (National) LP, by its general partners (""AXR"")",Revera,900 Sandy Beach Road,,,,Pickering,L1W 1Z4,Ontario,Canada,Central East,For-Profit,,New,124,,,,,,124,124,,,,,,,,,6/30/2035,,
NH1351,EXTENDICARE GUILDWOOD,Extendicare (Canada) Inc.,Extendicare,60 Guildwood Parkway,"43.7468545, -79.2031279",43.74685,-79.20313,Scarborough,M1E 1N9,Ontario,Canada,Central East,For-Profit,,C,169,,,169,,,,167,,2,,,,,,,6/30/2025,Yes,
NH4425,THE VILLAGE OF TAUNTON MILLS,Schlegel Villages,Schlegel Villages Inc.,3800 Brock Street North,,,,Whitby,L1R 3A5,Ontario,Canada,Central East,For-Profit,,New,120,,,,,,120,120,,,,,,,,,6/30/2035,,
NH3637,SHEPHERD LODGE,Shepherd Village Inc.,Shepherd Village Inc.,3760 Sheppard Avenue East,,,,Toronto,M1T 3K9,Ontario,Canada,Central East,Not-For-Profit,,New,252,,,,,,252,252,,,,,,,,,Unknown,,
NH1887,CASE MANOR CARE COMMUNITY,The Royale Development GP Corporation as general partner of The Royale Development LP,Sienna Senior Living,28 Boyd Street,,,,Bobcaygeon,K0M 1A0,Ontario,Canada,Central East,For-Profit,,New,96,,,,,,96,96,,,,,,,,,9/24/2036,,
H11967,WENTWORTH LODGE,City Of Hamilton,City Of Hamilton,41 South Street West,,,,Dundas,L9H 4C4,Ontario,Canada,HNHB,Municipal,,A / New,160,52,,,,,108,160,,,,,,,,,Municipal,,
H11897,VICTORIA MANOR HOME FOR THE AGED,The Corporation Of The City Of Kawartha Lakes,City of Kawartha Lakes,220 Angeline Street South,,,,Lindsay,K9V 4R2,Ontario,Canada,Central East,Municipal,,B,166,,164,,,,,164,,2,,,,,,,Municipal,Yes,
NH2906,FIELDSTONE COMMONS CARE COMMUNITY,2063414 Ontario Limited as general partner of 2063414 Investment LP,Sienna Senior Living,1000 Ellesmere Road,,,,Scarborough,M1P 5G2,Ontario,Canada,Central East,For-Profit,,New,224,,,,,,224,224,,,,,,,,,Unknown,,
NH3235,ORCHARD VILLA,CVH (No. 6) GP Inc. as General Partner of CVH (No. 6) LP,Southbridge,1955 Valley Farm Road,,,,Pickering,L1V 3R6,Ontario,Canada,Central East,For-Profit,,C / New,233,,,169,,,64,233,,,,,,,,,7/10/2022,Yes,Extendicare Assist
NH1638,PORT PERRY PLACE,CVH (No. 6) GP Inc. as General Partner of CVH (No. 6) LP,Southbridge,15941 Simcoe Street,,,,Port Perry,L9L 1N5,Ontario,Canada,Central East,For-Profit,,C / New,107,,,75,,,32,107,,,,,,,,,4/3/2022,Yes,
NH4479,ST JOSEPH'S AT FLEMING,St Joseph's At Fleming,St Joseph's At Fleming,659 Brealey Drive,,,,Peterborough,K9K 2R8,Ontario,Canada,Central East,Not-For-Profit,,New,394,,,,,,200,200,,,,,,,,,6/30/2030,,
NH4411,CHARTWELL TRILOGY LONG TERM CARE RESIDENCE,Trilogy LTC Inc.,Trilogy LTC Inc.,340 McCowan Road,,,,Scarborough,M1J 3P4,Ontario,Canada,Central East,For-Profit,,New,197,,,,,,197,195,,2,,,,,,,6/30/2035,,
NH4473,YEE HONG CENTRE - SCARBOROUGH FINCH,Yee Hong Centre For Geriatric Care,Yee Hong Centre For Geriatric Care,60 Scottfield Drive,,,,Scarborough,M1S 5T7,Ontario,Canada,Central East,Not-For-Profit,,New,250,,,,,,250,249,,1,,,,,,,Unknown,,
