,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Measure ID,Application Nos,Application Stage,Application Status,Measure Code,Measure Category,Measure Type,Measure Name,Quantity,Is it Retrofit or New Construction?,Is it a New PV System or an Expansion of an Existing System?,Status of Interconnection Application,Latitude,Longitude,DC System Size (kW),Module Type,Array Type,Modelled Total System Losses (%),Tilt (deg),Azimuth (deg),Retail Electricity Rate ($/kWh),January AC Energy (kWh),February AC Energy (kWh),March AC Energy (kWh),April AC Energy (kWh),May AC Energy (kWh),June AC Energy (kWh),July AC Energy (kWh),August AC Energy (kWh),September AC Energy (kWh),October AC Energy (kWh),November AC Energy (kWh),December AC Energy (kWh),Total Annual AC Energy (kWh),Applicant Comments,Total Emissions Reduction,Total Electricity Savings,Equipment & Material Costs,Labour Cost,Design Cost,Total Cost,Actual Equipment & Material Costs,Actual Labour Cost,Actual Design Cost,Actual Total Cost,Measure Incentive,Applicable Measure Incentive,Maximum Eligible Measure Incentive,Total Eligible Measure Incentive,Maximum Applicable Measure Incentive,Total Applicable Measure Incentive,Application Stage : Application Status,AC_CALC,Comment
12,12,12,12,12,12,12,1x0m13XuVabqfhO737vO,ESB-10566,Payment,Incentive Payment in Progress,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,49.170346,-113.385683,14.58,Standard,Fixed - Roof Mount,18,18,175,0.165,826,1200,1700,1900,2100,2100,2400,2100,1600,1500,928,717,19071,none,158.94,0,26129.18,6188.49,2062.83,34380.5,26000,6000,2000,34000,9477,9477,8595.125,8595.13,8500,8500,Payment : Incentive Payment in Progress,17660.3,
13,13,13,13,13,13,13,27JriQsPU1PZXzV9og2m,ESB-10643,Pre-Approval,Application Draft Approved,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,49.31211781,-112.2642355,132,Standard,Fixed - Open Rack,84.8,45,180,0.0615,0,0,0,0,4832,3449,12169,18108,4832,0,58910,0,102300,None,1438.94,0,185660,33850,5400,224910,0,0,0,0,66000,0,56227.5,56227.5,0,0,Pre-Approval : Application Draft Approved,29801.1,
14,14,14,14,14,14,14,2F44gxjaBPw4AUgqy0sJ,ESB-10078,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,53.556401,-113.3158228,353.13,Standard,Fixed - Open Rack,20,10,180,0.068,8335,15206,30144,40943,50417,52202,53766,44599,28831,18422,9042,6133,358040,The retail rates are currently TBA as this is a new construction site with development permit already approved. 20% losses obtained from our contractor,3849.48,0,639427,147673,27753.68,814853.68,0,0,0,0,176565,0,203713.42,176565,0,0,Pre-Approval : Application Submitted,338694.4,
15,15,15,15,15,15,15,2NHoSI0OPSbTbwbidMzV,ESB-11452,Post-Project,Application Under Review,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.492,-112.0468,44.29,Standard,Fixed - Roof Mount,20,10,225,0.068,1446,1982,3479,5008,5302,5171,5722,4920,3768,2699,1603,1299,42399,"Resubmission - If the initial application is accepted, please ignore this.  We've had almost all our recent applications rejected, and the ESB Representative suggested that we re-submit all our applications again with all the info requested on the March 17th email.  This application was submitted on March 17th, so I'm not 100% sure how it will be treated, so just being extra cautious as it's really important to Mike that he gets the funding for this project.  Thanks for understanding and sorry if this causes you any additional work!",482.81,0,66482.52,17046.8,1704.68,85234,71474.29,18326.74,1832.67,91633.7,21970,22145,21308.5,21308.5,22908.425,22145,Post-Project : Application Under Review,41841.5,
16,16,16,16,16,16,16,2UvyXXOvginya84c1bE9,ESB-11493,Pre-Approval,Application Submitted,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,New Construction,New PV System,0,50.598574,-114.118397,14.24,Standard,Fixed - Open Rack,7.8,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,7423,1877,0,9300,0,0,0,0,150,0,4650,150,0,0,Pre-Approval : Application Submitted,19175.3,
17,17,17,17,17,17,17,2c3mdbxwbKeHD25CFWP4,ESB-10144,Pre-Approval,Application Submitted,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,54.255685,-113.874917,5.52,Standard,Fixed - Open Rack,8,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.37,0,1360,3136,0,4496,0,0,0,0,400,0,1124,400,0,0,Pre-Approval : Application Submitted,6665.7,
18,18,18,18,18,18,18,2icR65z0lAk3oL7YhpgZ,ESB-10035,Payment,Incentive Payment in Progress,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,49.785108,-112.096118,43.1,Standard,Fixed - Open Rack,17.2,30,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,0,2886.09,748,0,3634.09,0,0,0,0,765,0,908.5225,765,0,0,Payment : Incentive Payment in Progress,54796.9,
19,19,19,19,19,19,19,2oCKviKdw4aPsV33S3t1,ESB-10362,Post-Project,Application Draft,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,53.53983,-113.777897,408,Premium,Fixed - Roof Mount,37.1,15,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.17,0,1446.92,1445.25,65.34,2957.51,0,0,0,0,264,0,739.3775,264,0,0,Post-Project : Application Draft,326226,
20,20,20,20,20,20,20,3216D0Tscr34XhdL8IUg,ESB-10609,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,0,0,51.0325,-114.06545,42.7,Standard,Fixed - Roof Mount,21,10,180,0.165,1700,2600,4300,5100,6100,6200,6800,5700,4200,3300,1800,1200,49000,none,465.47,0,63308,16660,3332,83300,0,0,0,0,21350,0,20825,20825,0,0,Pre-Approval : Application Submitted,44297.9,
21,21,21,21,21,21,21,3MaLwXK9T3fe2CdgNQxh,ESB-10742,Pre-Project,Application Information Requested,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.30491,-113.26146,58.96,Premium,Fixed - Roof Mount,0,20,180,0.0629,1772,1658,1276,1031,1018,1250,2182,1535,1200,2845,2096,1068,18931,345W solar modules,180.52,0,27403.5,10236,0,37639.5,0,0,0,0,8280,0,9409.875,8280,0,0,Pre-Project : Application Information Requested,77650.6,
22,22,22,22,22,22,22,3ZSIb1Dd9RTWgqnG8dIc,ESB-11441,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,54.1774,-114.7581,63.18,Standard,Fixed - Open Rack,20,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,0,819.73,414,0,1233.73,819.73,414,0,1233.73,270,270,308.4325,270,308.4325,270,Pre-Approval : Application Submitted,68095.3,
23,23,23,23,23,23,23,3c0vgQVrNCgbVykAChfo,ESB-10282,Pre-Approval,Application Draft Approved,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.14444059,-133.6299075,170,Premium,Fixed - Open Rack,2,45,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,15903,0,0,15903,0,0,0,0,250,0,7951.5,250,0,0,Pre-Approval : Application Draft Approved,261873.9,Long
24,24,24,24,24,24,24,3hVIiEnJKqANDLwUTITK,ESB-11326,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,52.044742,-114.36408,22.08,Standard,Fixed - Open Rack,8,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,0,364.8,62.4,0,427.2,0,0,0,0,90,0,106.8,90,0,0,Pre-Approval : Application Submitted,29297.1,
25,25,25,25,25,25,25,3jkn8ljLaSsk50MWP8ZI,ESB-11485,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.419571,-113.709435,15.75,Standard,Fixed - Open Rack,20,18.4,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.74,0,5450,280,0,5730,4950,316.67,0,5266.67,0,0,0,1791,0,0,Pre-Approval : Application Submitted,16570.8,
26,26,26,26,26,26,26,3kwWFsa8H8UC4xybj0ht,ESB-11309,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,49.879611,-111.393292,16.56,Standard,Fixed - Open Rack,8,35,180,0.0629,1772,1658,1276,1031,1018,1250,2182,1535,1200,2845,2096,1068,18931,345W solar modules,180.52,0,27403.5,10236,0,37639.5,0,0,0,0,8280,0,9409.875,8280,0,0,Pre-Approval : Application Submitted,23340.2,
27,27,27,27,27,27,27,3oMpm6JMyjmZvk9IwjyD,ESB-10624,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.494679,-113.419141,134.55,Premium,Fixed - Roof Mount,15.85,1.19,90,0.083413,836.39,3647.49,10197.48,15522.46,19494.97,18895.5,19948.69,17014.74,11157.43,6315.03,1455.98,118.36,124604.52,,1466.73,0,118000.27,28500,2232,148732.27,0,0,0,0,67275,0,37183.0675,37183.07,0,0,Pre-Approval : Application Submitted,122734.9,
28,28,28,28,28,28,28,3ogvMb2BjFJa1e45eYcm,ESB-11249,Pre-Approval,Application Draft Approved,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,49.37388,-111.132688,44.1,Standard,Fixed - Open Rack,20,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76,0,3136,2800,1000,6936,0,0,0,0,840,0,1734,840,0,0,Pre-Approval : Application Draft Approved,49437.3,
29,29,29,29,29,29,29,3yxH1X9dMv9QvC29J4Hi,ESB-10047,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,50.99168,-113.97427,1778.22,Standard,Fixed - Roof Mount,10.2,10,180,0.06412,34965,58569,151158,189199,289337,313897,289908,264038,203303,107051,65106,14849,1981380,"Modelled System losses are based on site specific data, equipment losses and analysis of historical production data of KCP Energy systems located nearby",19384.45,0,1867131,720179,80020,2667330,0,0,0,0,889110,0,666832.5,666832.5,0,0,Pre-Approval : Application Submitted,2077901.9,
30,30,30,30,30,30,30,47LUqCKEQX7DOQGNHRtP,ESB-10009,Payment,Incentive Payment in Progress,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.35232822,-113.5725194,72,Premium,Fixed - Open Rack,15,45,180,0.067,0,0,0,0,2000,4000,4034,8765,8030,3000,0,0,29829,Rate 26,784.87,0,123948,6900,2310,133158,123948,6900,2310,133158,36000,36000,33289.5,33289.5,33289.5,33289.5,Payment : Incentive Payment in Progress,96409.2,
31,31,31,31,31,31,31,4SW9ryMABXKH8PdXB9lg,ESB-10990,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.858709,-110.980323,72.2,Premium,Fixed - Open Rack,24,30,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.08,0,22328.268,12354.02789,0,34682.29589,22328.27,12354.03,0,34682.3,4440,4440,8670.573973,4440,8670.575,4440,Pre-Approval : Application Submitted,83495.4,
32,32,32,32,32,32,32,4Ya2BJX0k3x2mUnhQp6A,ESB-10562,Payment,Incentive Recommendation Approval Pending,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,51.104407,-112.421613,32.3,Standard,Fixed - Roof Mount,15,15,180,0.07623,710,700,748,600,450,350,350,325,270,475,600,700,6278,345W Panels,60.17,0,10769.1,2138.4,0,12907.5,0,0,0,0,3588,0,3226.875,3226.88,0,0,Payment : Incentive Recommendation Approval Pending,36736,
33,33,33,33,33,33,33,4aypEyl9LW2K4QmSeX2S,ESB-10233,Pre-Approval,Application Draft Approved,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,0,0,53.569829,-113.574699,165.62,Premium,Fixed - Open Rack,18.37,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.42,0,25092,41767.57,0,66859.57,0,0,0,0,850,0,16714.89,850,0,0,Pre-Approval : Application Draft Approved,166825,
34,34,34,34,34,34,34,4c13MeKop6R6SnWOOrZa,ESB-11484,Pre-Project,Application Information Requested,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,51.083286,-114.348725,55.8,Standard,Fixed - Roof Mount,20,10,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,0,3207.96,6700,1300,11207.96,0,0,0,0,804,0,2801.99,804,0,0,Pre-Project : Application Information Requested,54374.3,
35,35,35,35,35,35,35,4fP7xhLMUAzAWUQu5nyn,ESB-10615,Payment,Incentive Approved,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.72835673,-111.65033,17.1,Premium,Fixed - Open Rack,24.5,45,180,0.08,1,1,1,1,1,3400,16950,5650,1,1,1413,1,27421,Fronius - SYMO 17.5-3 480 inverter on datasheet - refer to contractor for all questions.,186.41,0,33945.41,5558.59,1707,41211,33945.41,5558.59,1707,41211,8550,8550,10302.75,8550,10302.75,8550,Payment : Incentive Approved,20470.9,
36,36,36,36,36,36,36,4mhYdGCdrfvyOVVIeVyr,ESB-10896,Pre-Approval,Application Draft Approved,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,49.672557,-112.757985,11.6,Standard,Fixed - Roof Mount,18,22.73,228,0.2,589,871,1200,1400,1600,1700,1900,1700,1200,1100,644,496,14400,Using Canadian solar 445 and Fronius Primo 10kW. Rate class is AI Commercial <150 kW RRO,126.45,0,21254.4,3369.6,1296,25920,0,0,0,0,7540,0,6480,6480,0,0,Pre-Approval : Application Draft Approved,13191.2,
37,37,37,37,37,37,37,4oNeOKzFkV2IBcynNkZC,ESB-11306,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,51.790785,-111.593828,33.12,Standard,Fixed - Open Rack,8,35,180,0.0659,4900,4062,3300,3450,2300,2200,1950,1600,1560,1250,1875,3125,31572,345W solar modules,361.04,0,64133.1,16166.4,0,80299.5,0,0,0,0,16560,0,20074.875,16560,0,0,Pre-Approval : Application Submitted,44010.3,
38,38,38,38,38,38,38,4qWaX6hEaGb97Zutg9sP,ESB-10122,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.131904,-133.601126,59.5,Premium,Fixed - Open Rack,16,45,180,0.067,4617,4292,4041,4832,6201,7395,9162,9162,6675,5455,4828,4293,70953,Facility Rate Class 41,648.61,0,98902,12000,2500,113402,0,0,0,0,29750,0,28350.5,28350.5,0,0,Pre-Approval : Application Submitted,79935.3,Long
39,39,39,39,39,39,39,4xkL4gIQ0HLWvJlcNJOZ,ESB-10786,Pre-Project,Application Information Requested,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,52.079577,-113.266001,5.52,Standard,Fixed - Open Rack,8,45,180,0.07623,710,700,748,600,450,350,350,325,270,475,600,700,6278,345W Panels,60.17,0,10769.1,2138.4,0,12907.5,0,0,0,0,3588,0,3226.875,3226.88,0,0,Pre-Project : Application Information Requested,7401.3,
40,40,40,40,40,40,40,52PzIc46D51FdLq6adnw,ESB-11508,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,55.195975,-119.205207,20.4,Standard,Fixed - Roof Mount,15,18.4,140,0.08184,750,1028,1805,2599,2751,2683,2969,2553,1955,1400,832,674,21999,Installation of a solar PV roof mounted system with panels on 2 different roof faces facing: 140 degrees and 250 degrees.,222.38,0,35802,9180,918,45900,0,0,0,0,10200,0,11475,10200,0,0,Pre-Approval : Application Submitted,20549.7,
41,41,41,41,41,41,41,52RJxGiMqVi12y17wKkB,ESB-11279,Pre-Approval,Application Submitted,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,53.85645,-112.880294,13.5,Standard,Fixed - Roof Mount,15,18,175,0.064,346,631,1251,1699,2092,2166,2231,1850,1196,764,375,254,14855,Solar on existing shop of Farm,147.16,0,14687.2,6119.66,3671.8,24478.66,0,0,0,0,8775,0,6119.665,6119.66,0,0,Pre-Approval : Application Submitted,14801.8,
42,42,42,42,42,42,42,5Td2sS2U28FDerVJHKpF,ESB-11201,Payment,Incentive Recommended,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.291544,-113.562397,170,Standard,Fixed - Open Rack,16,45,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.48,0,2100,6400,0,8500,0,0,0,0,450,0,2125,450,0,0,Payment : Incentive Recommended,222108.1,
43,43,43,43,43,43,43,5kQghi4aFuuiHqBdqXKe,ESB-10016,Payment,Incentive Payment in Progress,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,Expansion of an Existing System,0,51.09486,-112.994217,26.35,Standard,Fixed - Roof Mount,16.3,15,180,0.06,3500,3500,2400,2100,1700,1700,2000,1900,1700,2500,3300,3300,29600,Utility Rate Class 21,287.24,0,37398,9800,500,47698,37398,9800,500,47698,13175,13175,11924.5,11924.5,11924.5,11924.5,Payment : Incentive Payment in Progress,29434.2,
